Player,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,wSB,wRC,wRAA,wOBA,wRC+,GB/FB,LD%,GB%,Flyball%,IFFB%,HR/FB,IFH,IFH%,BUH,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,batted ball,EV,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,xBA,xSLG,xwOBA,Clutch,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,wFB,wSL,wCT,wCB,wCH,wSF,wFB/C,wSL/C,wCT/C,wCB/C,wCH/C,wSF/C,fastball%,FBv,SL%,SLv,CT%,CTv,CB%,CBv,CH%,CHv,SF%,SFv,Batting,Base Running,Fielding,WAR
Zach McKinstry,DET,148,464,518,107,73,21,4,9,60,35,44,0,113,5,3,2,3,16,6,0.231,0.085,0.218,0.39,0.302,0.351,0.654,0.121,6,0.284,0.9,1.1,-0.3,50,-12.7,0.289,81,0.82,0.218,0.35100000000000003,0.431,0.039,0.059000000000000004,8,0.065,0,0,0.354,0.376,0.27,0.124,0.601,0.275,356,87.2,108.3,17.8,27,0.076,118,0.332,0.245,0.389,0.311,-0.15,0.305,0.691,0.47,0.669,0.909,0.82,0.42700000000000005,0.575,0.085,0.165,0.25,-5,-2.7,-0.3,1.3,-1,-1.9,-0.45,-0.8,-0.22,0.64,-0.38,-3.71,0.522,94.1,0.162,84.2,0.065,89.5,0.096,80,0.13,86.3,0.025,87.3,-11.8,1.7,4.5,1.2
Yandy Diaz,TBR,137,525,600,173,116,35,0,22,95,78,65,0,94,8,2,0,16,0,1,0.33,0.10800000000000001,0.157,0.69,0.41,0.522,0.932,0.192,1.8,0.367,-2.2,-2.9,-1.9,115,41.5,0.402,164,1.81,0.19399999999999998,0.52,0.28600000000000003,0.055999999999999994,0.177,18,0.08,0,0,0.314,0.41100000000000003,0.275,0.106,0.47600000000000003,0.418,433,93.4,114.5,5.7,41,0.095,234,0.54,0.301,0.479,0.381,0.57,0.228,0.685,0.426,0.6809999999999999,0.9009999999999999,0.8340000000000001,0.433,0.593,0.07,0.18100000000000002,0.251,7.2,17.7,1.7,12,0.9,-0.7,0.58,3.36,0.98,8.02,0.39,-1.21,0.522,93.9,0.223,84.8,0.073,89.4,0.063,80.5,0.096,84.8,0.023,87.3,46.1,-7,-2.3,4.7
Xander Bogaerts,SDP,155,596,665,170,118,31,2,19,83,58,56,0,110,7,6,0,21,19,2,0.285,0.084,0.165,0.51,0.35,0.44,0.79,0.154,5.2,0.319,-0.6,-1.9,1.6,95,13.5,0.343,120,1.53,0.16699999999999998,0.504,0.32899999999999996,0.068,0.11699999999999999,30,0.121,0,0,0.402,0.315,0.28300000000000003,0.161,0.539,0.301,492,87.6,111.4,7.9,30,0.061,169,0.344,0.252,0.395,0.317,-1.69,0.28600000000000003,0.603,0.426,0.6859999999999999,0.883,0.809,0.441,0.608,0.081,0.217,0.298,-5.4,6.8,-0.4,6.3,1.1,-0.2,-0.42,1.08,-0.23,3.26,0.37,-0.27,0.48700000000000004,93.9,0.239,84.6,0.063,89.1,0.073,80.7,0.113,85.4,0.025,86.5,16.6,-0.9,0.4,4.4
Willy Adames,MIL,149,553,638,120,65,29,2,24,73,80,71,1,165,6,6,0,12,5,3,0.217,0.111,0.259,0.43,0.31,0.407,0.717,0.19,3.5,0.259,1.1,0,-1.4,74,-3.7,0.311,94,0.81,0.193,0.36,0.447,0.114,0.136,7,0.049,0,0,0.46399999999999997,0.358,0.17800000000000002,0.183,0.46399999999999997,0.353,396,87.4,109.8,18.2,49,0.124,143,0.361,0.242,0.442,0.341,-0.44,0.35600000000000004,0.736,0.499,0.565,0.835,0.715,0.377,0.603,0.142,0.13699999999999998,0.278,-6.6,-2.2,-2,1.7,4.9,0.9,-0.59,-0.31,-1,0.89,1.61,1.56,0.436,93.6,0.273,84.3,0.077,88.4,0.074,79.4,0.11800000000000001,85.3,0.022000000000000002,87.1,-5,-0.3,11.3,3.4
William Contreras,MIL,141,540,611,157,101,38,1,17,86,78,63,2,126,5,2,1,23,6,1,0.291,0.10300000000000001,0.20600000000000002,0.5,0.369,0.459,0.828,0.169,3.9,0.351,0,-2.9,-0.5,95,20.5,0.359,125,1.91,0.161,0.55,0.28800000000000003,0.1,0.142,20,0.087,0,0,0.34299999999999997,0.391,0.266,0.14400000000000002,0.499,0.35700000000000004,417,91.3,113.9,4.7,39,0.094,202,0.484,0.253,0.432,0.336,-0.95,0.27899999999999997,0.6409999999999999,0.43200000000000005,0.619,0.816,0.742,0.42100000000000004,0.607,0.111,0.187,0.298,4.3,8.5,-4.7,3,2.3,-1.4,0.38,1.49,-2.87,1.3,0.82,-3.43,0.47,93.6,0.235,84.5,0.068,88.6,0.096,79.5,0.114,84.9,0.017,85.7,19.2,-3.4,13.4,5.4
Will Smith,LAD,126,464,554,121,79,21,2,19,80,76,63,2,89,15,12,0,8,3,0,0.261,0.114,0.161,0.71,0.359,0.438,0.797,0.177,4,0.277,0.9,1.6,-0.6,80,12.2,0.345,119,0.85,0.18899999999999997,0.37200000000000005,0.439,0.065,0.11199999999999999,13,0.09,0,0,0.377,0.344,0.27899999999999997,0.142,0.501,0.35700000000000004,387,89.3,110.8,15.6,26,0.067,160,0.413,0.261,0.433,0.353,-1.69,0.284,0.7020000000000001,0.457,0.7709999999999999,0.861,0.828,0.415,0.5870000000000001,0.078,0.165,0.243,-3.2,6,2.7,3.1,4.2,1.2,-0.27,1.12,1.45,1.76,2.39,5.92,0.521,94,0.235,84.8,0.081,89.2,0.076,80.3,0.078,86.1,0.009,88,12.9,1.9,3.6,4.4
Whit Merrifield,TOR,145,547,592,149,111,27,0,11,66,67,36,2,101,3,6,0,15,26,10,0.272,0.061,0.171,0.36,0.318,0.382,0.7,0.11,4.5,0.313,2.5,-1.3,-0.2,65,-7,0.304,93,1.08,0.222,0.40399999999999997,0.375,0.089,0.065,17,0.093,0,0,0.34299999999999997,0.37799999999999995,0.27899999999999997,0.17300000000000001,0.573,0.254,452,85.1,106.1,14.4,11,0.024,109,0.24100000000000002,0.241,0.329,0.274,0.68,0.364,0.701,0.509,0.741,0.877,0.821,0.431,0.655,0.091,0.159,0.25,-8.1,3.3,-2.8,-0.2,-0.3,0.5,-0.78,0.57,-1.39,-0.11,-0.2,1.08,0.473,93.9,0.263,84.3,0.091,88.7,0.083,79.6,0.069,84.6,0.02,85.7,-4.8,1,1.4,1.5
Vladimir Guerrero Jr.,TOR,156,602,682,159,103,30,0,26,78,94,67,5,100,9,4,0,23,5,3,0.264,0.098,0.147,0.67,0.345,0.444,0.788,0.179,2.4,0.277,-4,-1.5,-1.6,95,12.1,0.34,118,1.31,0.184,0.462,0.354,0.11699999999999999,0.145,8,0.034,0,0,0.423,0.35,0.22699999999999998,0.158,0.478,0.364,506,92.1,116.7,10.5,56,0.111,249,0.49200000000000005,0.291,0.494,0.374,0.12,0.325,0.768,0.506,0.6459999999999999,0.873,0.787,0.408,0.617,0.10800000000000001,0.128,0.23600000000000002,2.2,0.2,1.8,2.4,-0.2,1.4,0.19,0.04,0.86,1.33,-0.09,2.64,0.47100000000000003,94.2,0.25,84.6,0.085,89.1,0.073,80.3,0.099,85.4,0.023,86.1,14.6,-7.1,-8,1
Tyler Stephenson,CIN,142,465,517,113,78,20,2,13,59,56,47,2,135,4,1,0,16,0,1,0.243,0.091,0.261,0.35,0.317,0.378,0.696,0.135,2.7,0.314,-1.9,-2.4,-1.4,57,-5.7,0.305,85,1.69,0.22699999999999998,0.486,0.287,0.042,0.13699999999999998,11,0.068,0,0,0.39899999999999997,0.32899999999999996,0.272,0.11199999999999999,0.55,0.33799999999999997,331,89.4,111.1,8.9,25,0.076,143,0.43200000000000005,0.241,0.393,0.313,-1.04,0.275,0.633,0.426,0.564,0.85,0.743,0.42100000000000004,0.634,0.109,0.191,0.3,-0.6,0.4,-3.9,1.3,-2.7,0.2,-0.06,0.08,-2.46,0.85,-1.38,0.48,0.515,93.9,0.221,84.6,0.078,88.5,0.075,78.5,0.095,85.5,0.016,86.1,-9.9,-5.7,-10.1,-0.7
Ty France,SEA,158,587,665,147,103,32,0,12,79,58,43,0,117,34,1,0,25,1,0,0.25,0.065,0.17600000000000002,0.37,0.337,0.366,0.703,0.116,2.5,0.294,-5.8,-2.8,-1.2,79,-2,0.315,104,1.2,0.23399999999999999,0.418,0.348,0.11599999999999999,0.073,4,0.02,0,0,0.429,0.36700000000000005,0.204,0.17,0.5579999999999999,0.272,471,87.5,112.7,13.7,32,0.068,181,0.384,0.266,0.413,0.339,-0.89,0.379,0.747,0.532,0.638,0.915,0.799,0.415,0.606,0.107,0.129,0.23600000000000002,-7.2,-2.8,-2,3.6,-2.6,0.7,-0.57,-0.46,-1.31,2.03,-1.4,1.42,0.515,94,0.249,84.5,0.064,88.7,0.073,80,0.078,85.2,0.021,85.5,2.8,-9.8,1.5,0.5
