Player,Pos,Age,Team,H,HR,R,RBI,SB,AVG,BB%,K%,OPS,BABIP,wOBA,wRC+,LD%,EV,LA,Barrel%,HardHit%,Clutch,BsR,Fielding,WAR
Zach McKinstry,2B,28,DET,107,9,60,35,16,0.231,0.085,0.218,0.654,0.284,0.289,81,0.218,87.2,17.8,0.076,0.332,-0.15,1.7,4.5,1.2
Yandy Diaz,1B,32,TBR,173,22,95,78,0,0.33,0.108,0.157,0.932,0.367,0.402,164,0.1939999999999999,93.4,5.7,0.095,0.54,0.57,-7,-2.3,4.7
Xander Bogaerts,SS,31,SDP,170,19,83,58,19,0.285,0.084,0.165,0.79,0.319,0.343,120,0.1669999999999999,87.6,7.9,0.061,0.344,-1.69,-0.9,0.4,4.4
Willy Adames,SS,28,MIL,120,24,73,80,5,0.217,0.111,0.259,0.717,0.259,0.311,94,0.193,87.4,18.2,0.124,0.361,-0.44,-0.3,11.3,3.4
William Contreras,C,25,MIL,157,17,86,78,6,0.291,0.103,0.206,0.828,0.351,0.359,125,0.161,91.3,4.7,0.094,0.484,-0.95,-3.4,13.4,5.4
Will Smith,C,28,LAD,121,19,80,76,3,0.261,0.114,0.161,0.797,0.277,0.345,119,0.1889999999999999,89.3,15.6,0.067,0.413,-1.69,1.9,3.6,4.4
Whit Merrifield,2B,34,TOR,149,11,66,67,26,0.272,0.061,0.171,0.7,0.313,0.304,93,0.222,85.1,14.4,0.024,0.241,0.68,1,1.4,1.5
Vladimir Guerrero Jr.,1B,24,TOR,159,26,78,94,5,0.264,0.098,0.147,0.788,0.277,0.34,118,0.184,92.1,10.5,0.111,0.492,0.12,-7.1,-8,1
Tyler Stephenson,C,27,CIN,113,13,59,56,0,0.243,0.091,0.261,0.696,0.314,0.305,85,0.2269999999999999,89.4,8.9,0.076,0.432,-1.04,-5.7,-10.1,-0.7
Ty France,1B,29,SEA,147,12,79,58,1,0.25,0.065,0.176,0.703,0.294,0.315,104,0.2339999999999999,87.5,13.7,0.068,0.384,-0.89,-9.8,1.5,0.5
Triston Casas,1B,23,BOS,113,24,66,65,0,0.263,0.139,0.251,0.856,0.317,0.367,129,0.21,91.1,15.7,0.131,0.462,-0.61,-2.1,-5.9,1.8
Trent Grisham,OF,27,SDP,93,13,67,50,15,0.198,0.135,0.2769999999999999,0.666,0.264,0.299,91,0.2189999999999999,90.3,18.3,0.118,0.3989999999999999,-1.37,4,-2.1,1.7
Trea Turner,SS,30,PHI,170,26,102,76,30,0.266,0.065,0.217,0.778,0.31,0.333,108,0.21,89.9,13,0.084,0.422,-0.46,7.3,-6.2,3.8
Tommy Edman,2B,28,STL,119,13,69,47,27,0.248,0.066,0.159,0.705,0.275,0.306,92,0.168,89.1,7.5,0.05,0.386,0.81,1.8,4.9,2.3
